Time,Simulations with mutants
0,145
20,144
40,143
60,142
80,140
100,140
120,140
140,140
160,140
180,140
200,138
220,138
240,137
260,135
280,135
300,135
320,134
340,134
360,134
380,134
400,133
420,132
440,132
460,132
480,132
500,132
520,132
540,132
560,130
580,130
600,129
620,129
640,129
660,129
680,129
700,129
720,129
740,129
760,128
780,128
800,128
820,128
840,128
860,127
880,127
900,127
920,127
940,127
960,126
980,125
1000,125
1020,125
1040,124
1060,123
1080,123
1100,123
1120,123
1140,123
1160,123
1180,123
1200,123
1220,123
1240,122
1260,122
1280,122
1300,122
1320,122
1340,122
1360,122
1380,122
1400,122
1420,122
1440,122
1460,122
1480,122
1500,121
1520,121
1540,121
1560,120
1580,120
1600,119
1620,119
1640,119
1660,119
1680,119
1700,119
1700.05,119
1700.1,119
1700.15,119
1700.2,115
1700.2,119
1720.2,115
1740.2,115
1760.2,115
1780.2,115
1800.2,115
1820.2,115
1840.2,115
1860.2,115
1880.2,115
1900.2,115
1920.2,115
1940.2,115
1960.2,115
1980.2,115
2000.2,115
2020.2,114
2040.2,114
2060.2,114
2080.2,114
2100.2,112
2100.2,113
2120.2,111
2140.2,111
2160.2,111
2180.2,111
2200.2,111
2220.2,111
2240.2,111
2260.2,111
2280.2,111
2300.2,111
2320.2,110
2340.2,110
2360.2,110
2380.2,110
2400.2,110
2420.2,109
2440.2,109
2460.2,109
2480.2,109
2500.2,109
2520.2,109
2540.2,109
2560.2,109
2580.2,109
2600.2,109
2620.2,109
2640.2,109
2660.2,108
2680.2,108
2700.2,108
2720.2,108
2740.2,108
2760.2,108
2780.2,108
2800.2,107
2820.2,107
2840.2,107
2860.2,107
2880.2,107
2900.2,107
2920.2,107
2940.2,107
2960.2,107
2980.2,107
3000.2,107
3020.2,107
3040.2,107
3060.2,107
3080.2,107
3100.2,106
3120.2,106
3140.2,106
3160.2,106
3180.2,106
3200.2,104
3220.2,103
3240.2,103
3260.2,102
3280.2,102
3300.2,102
3320.2,102
3340.2,102
3360.2,102
3380.2,102
3400.2,102
3420.2,102
3440.2,102
3460.2,102
3480.2,102
3500.2,102
3520.2,102
3540.2,102
3560.2,102
3580.2,102
3600.2,102
3620.2,101
3640.2,101
3660.2,101
3680.2,101
3700.2,101
3720.2,101
3740.2,101
3760.2,101
3780.2,101
3800.2,101
3820.2,101
3840.2,101
3860.2,101
3880.2,101
3900.2,101
3920.2,101
3940.2,101
3960.2,101
3980.2,101
4000.2,100
4020.2,100
4040.2,100
4060.2,100
4080.2,100
4100.2,100
4120.2,99
4140.2,99
4160.2,99
4180.2,99
4200.2,99
4220.2,99
4240.2,99
4260.2,99
4280.2,99
4300.2,99
4320.2,99
4340.2,99
4360.2,99
4380.2,99
4400.2,99
4420.2,98
4440.2,98
4460.2,98
4480.2,98
4500.2,98
4520.2,98
4540.2,98
4560.2,98
4580.2,98
4600.2,98
4620.2,98
4640.2,98
4660.2,98
4680.2,98
4700.2,98
4720.2,98
4740.2,98
4760.2,98
4780.2,98
4800.2,98
4820.2,98
4840.2,98
4860.2,98
4880.2,98
4900.2,98
4920.2,98
4940.2,98
4960.2,98
4980.2,98
5000.2,97
5020.2,96
5040.2,96
5060.2,96
5080.2,96
5100.2,95
5120.2,95
5140.2,95
5160.2,95
5180.2,95
5200.2,95
5220.2,95
5240.2,95
5260.2,95
5280.2,95
5300.2,95
5320.2,95
5340.2,95
5360.2,95
5380.2,94
5400.2,94
5420.2,94
5440.2,94
5460.2,94
5480.2,94
5500.2,94
5520.2,94
5540.2,94
5560.2,94
5580.2,94
5600.2,94
5620.2,94
5640.2,94
5660.2,94
5680.2,94
5700.2,94
5720.2,94
5740.2,94
5760.2,94
5780.2,94
5800.2,93
5820.2,92
5840.2,92
5860.2,92
5880.2,92
5900.2,92
5920.2,92
5940.2,92
5960.2,92
5980.2,92
6000.2,92
6020.2,92
6040.2,92
6060.2,92
6080.2,92
